Country;Region;Hemisphere;HappinessScore;HDI;GDP_PerCapita;Beer_PerCapita;Spirit_PerCapita;Wine_PerCapita;christianity_protestant;christianity_romancatholic;christianity_easternorthodox;christianity_anglican;christianity_other;christianity_all;judaism_orthodox;judaism_conservative;judaism_reform;judaism_other;judaism_all;islam_sunni;islam_shi’a;islam_ibadhi;islam_nationofislam;islam_alawite;islam_ahmadiyya;islam_other;islam_all;buddhism_mahayana;buddhism_theravada;buddhism_other;buddhism_all;zoroastrianism_all;hinduism_all;sikhism_all;shinto_all;baha’i_all;taoism_all;jainism_all;confucianism_all;syncretism_all;animism_all;noreligion_all;otherreligion_all;religion_all;population;protestant_percent;romancatholic_percent;easternorthodox_percent;anglican_percent;otherchristianity_percent;christianity_percent;orthodox_percent;conservative_percent;reform_percent;otherjudaism_percent;judaism_percent;sunni_percent;shi’a_percent;ibadhi_percent;nationofislam_percent;alawite_percent;ahmadiyya_percent;otherislam_percent;islam_percent;mahayana_percent;theravada_percent;otherbuddhism_percent;buddhism_percent;zoroastrianism_percent;hinduism_percent;sikhism_percent;shinto_percent;baha’i_percent;taoism_percent;jainism_percent;confucianism_percent;syncretism_percent;animism_percent;noreligion_percent;otherreligion_percent;religion_sumpercent;total_percent;dual_religion
Denmark;Western Europe;north;7.526;928;53.579;224;81;278;4481602;37964;799;0;6872;4527237;0;0;0;2153;2153;215000;7000;0;0;0;0;0;222000;0;0;4487;4487;0;206;0;0;349;0;0;0;0;619;560000;222583;5317051;5539634;0.809;0.0069;0.0001;0;0.0012;0.8172;0;0;0;0.0004;0.0004;0.0388;0.0013;0;0;0;0;0;0.0401;0;0;0.0008;0.0008;0;0;0;0;0.0001;0;0;0;0;0.0001;0.1011;0.0402;0.9598;1;0
Switzerland;Western Europe;north;7.509;943;79.866;185;100;280;2193742;3710000;78251;0;322000;6303993;0;0;0;17500;17500;0;0;0;0;0;0;322000;322000;0;0;25431;25431;0;24336;0;0;4037;0;0;0;0;0;1050000;77825;7747297;7825122;0.2803;0.4741;0.01;0;0.0411;0.8056;0;0;0;0.0022;0.0022;0;0;0;0;0;0;0.0411;0.0411;0;0;0.0032;0.0032;0;0.0031;0;0;0.0005;0;0;0;0;0;0.1342;0.0099;0.9901;0.9998;0
Iceland;Western Europe;north;7.501;933;60.53;233;61;78;275000;9647;709;0;4707;290063;0;0;0;0;0;0;0;0;0;0;0;1589;1589;0;0;1087;1087;0;0;0;0;396;0;0;0;0;1398;10309;11979;304842;316821;0.868;0.0304;0.0022;0;0.0149;0.9155;0;0;0;0;0;0;0;0;0;0;0;0.005;0.005;0;0;0.0034;0.0034;0;0;0;0;0.0012;0;0;0;0;0.0044;0.0325;0.0378;0.9622;0.9998;0
Norway;Western Europe;north;7.498;951;70.89;169;71;129;3939303;67342;0;0;97078;4103723;0;0;0;823;823;99500;0;0;0;0;0;0;99500;0;0;13450;13450;0;5203;1042;0;1017;0;0;0;0;0;540000;120324;4764758;4885082;0.8064;0.0138;0;0;0.0199;0.8401;0;0;0;0.0002;0.0002;0.0204;0;0;0;0;0;0;0.0204;0;0;0.0028;0.0028;0;0.0011;0.0002;0;0.0002;0;0;0;0;0;0.1105;0.0246;0.9754;1.0001;0
Finland;Western Europe;north;7.413;918;43.433;263;133;97;4199939;0;59002;0;0;4258941;0;0;0;1277;1277;0;0;0;0;0;0;24245;24245;0;0;4988;4988;0;0;0;0;1674;0;0;0;3991;0;890650;178142;5185766;5363908;0.783;0;0.011;0;0;0.794;0;0;0;0.0002;0.0002;0;0;0;0;0;0;0.0045;0.0045;0;0;0.0009;0.0009;0;0;0;0;0.0003;0;0;0;0.0007;0;0.166;0.0332;0.9668;0.9998;0
Canada;North America;north;7.404;922;42.349;240;122;100;7929127;14497030;785000;2722447;497500;26431104;68061;119107;51045;102091;340304;600000;70000;0;0;0;0;0;670000;0;0;670000;670000;6130;275000;275000;915;18945;3620;3320;2700;27000;70861;5670000;35101;34464899;34500000;0.2298;0.4202;0.0228;0.0789;0.0144;0.7661;0.002;0.0035;0.0015;0.003;0.0099;0.0174;0.002;0;0;0;0;0;0.0194;0;0;0.0194;0.0194;0.0002;0.008;0.008;0;0.0005;0.0001;0.0001;0.0001;0.0008;0.0021;0.1643;0.001;0.999;1;0
Netherlands;Western Europe;north;7.339;928;45.638;251;88;190;2824128;4485380;7988;8545;2300000;9626041;0;0;0;25700;25700;0;0;0;0;0;0;963526;963526;0;0;201012;201012;299;107151;13290;0;6678;0;0;0;6911;665;5648257;12992;16599530;16612522;0.17;0.27;0.0005;0.0005;0.1384;0.5794;0;0;0;0.0015;0.0015;0;0;0;0;0;0;0.058;0.058;0;0;0.0121;0.0121;0;0.0065;0.0008;0;0.0004;0;0;0;0.0004;0;0.34;0.0008;0.9992;0.9999;0
New Zealand;Australia and New Zealand;south;7.334;915;40.332;203;79;175;692769;673936;7827;752931;234094;2361557;0;0;0;4696;4696;0;0;0;0;0;0;48943;48943;0;0;91846;91846;0;86698;9922;0;7514;0;0;0;11480;31311;1711677;1846;4365644;4367490;0.1586;0.1543;0.0018;0.1724;0.0536;0.5407;0;0;0;0.0011;0.0011;0;0;0;0;0;0;0.0112;0.0112;0;0;0.021;0.021;0;0.0199;0.0023;0;0.0017;0;0;0;0.0026;0.0072;0.3919;0.0004;0.9996;1;0
Australia;Australia and New Zealand;south;7.313;938;49.897;261;72;212;2017577;4340077;616754;3338520;2837742;13150670;0;0;0;97335;97335;0;0;0;0;0;0;476290;476290;0;0;528977;528977;2450;180000;30000;0;15000;0;0;55000;70000;59000;6636435;98843;21301157;21400000;0.0943;0.2028;0.0288;0.156;0.1326;0.6145;0;0;0;0.0045;0.0045;0;0;0;0;0;0;0.0223;0.0223;0;0;0.0247;0.0247;0.0001;0.0084;0.0014;0;0.0007;0;0;0.0026;0.0033;0.0028;0.3101;0.0046;0.9954;1;0
Sweden;Western Europe;north;7.291;932;51.845;152;60;186;6377734;187580;120000;0;448500;7133814;0;0;0;19781;19781;562741;0;0;0;0;0;0;562741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500643;162043;9216979;9379022;0.68;0.02;0.0128;0;0.0478;0.7606;0;0;0;0.0021;0.0021;0.06;0;0;0;0;0;0;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16;0.0173;0.9827;1;0
